종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005380,현대차
373220,LG에너지솔루션
207940,삼성바이오로직스
402340,SK스퀘어
012450,한화에어로스페이스
034020,두산에너빌리티
000270,기아
105560,KB금융
329180,HD현대중공업
068270,셀트리온
028260,삼성물산
032830,삼성생명
055550,신한지주
042660,한화오션
006800,미래에셋증권
012330,현대모비스
035420,NAVER
267260,HD현대일렉트릭
006400,삼성SDI
009150,삼성전기
010130,고려아연
086790,하나금융지주
015760,한국전력
005490,POSCO홀딩스
042700,한미반도체
009540,HD한국조선해양
000250,삼천당제약
298040,효성중공업
316140,우리금융지주
034730,SK
010120,LS ELECTRIC
272210,한화시스템
010140,삼성중공업
051910,LG화학
035720,카카오
000810,삼성화재
196170,알테오젠
086520,에코프로
064350,현대로템
267250,HD현대
247540,에코프로비엠
138040,메리츠금융지주
000150,두산
024110,기업은행
096770,SK이노베이션
011200,HMM
003670,포스코퓨처엠
047810,한국항공우주
066570,LG전자
033780,KT&G
086280,현대글로비스
017670,SK텔레콤
000720,현대건설
079550,LIG넥스원
030200,KT
003550,LG
352820,하이브
0126Z0,삼성에피스홀딩스
047050,포스코인터내셔널
010950,S-Oil
005940,NH투자증권
071050,한국금융지주
278470,에이피알
018260,삼성에스디에스
259960,크래프톤
005830,DB손해보험
323410,카카오뱅크
039490,키움증권
277810,레인보우로보틱스
307950,현대오토에버
950160,코오롱티슈진
298380,에이비엘바이오
003490,대한항공
003230,삼양식품
016360,삼성증권
090430,아모레퍼시픽
006260,LS
000880,한화
443060,HD현대마린솔루션
007660,이수페타시스
000100,유한양행
058470,리노공업
180640,한진칼
326030,SK바이오팜
141080,리가켐바이오
011070,LG이노텍
047040,대우건설
377300,카카오페이
161390,한국타이어앤테크놀로지
028300,HLB
128940,한미약품
087010,펩트론
032640,LG유플러스
028050,삼성E&A
029780,삼성카드
267270,HD건설기계
078930,GS
066970,엘앤에프
009830,한화솔루션
052690,한전기술
001040,CJ
064400,LG씨엔에스
240810,원익IPS
310210,보로노이
034220,LG디스플레이
175330,JB금융지주
138930,BNK금융지주
241560,두산밥캣
088980,맥쿼리인프라
454910,두산로보틱스
001440,대한전선
095340,ISC
271560,오리온
450080,에코프로머티
021240,코웨이
214370,케어젠
039030,이오테크닉스
036570,엔씨소프트
004020,현대제철
022100,포스코DX
062040,산일전기
002380,KCC
251270,넷마블
353200,대덕전자
088350,한화생명
018880,한온시스템
226950,올릭스
489790,한화비전
032820,우리기술
035250,강원랜드
082740,한화엔진
031210,서울보증보험
263750,펄어비스
051900,LG생활건강
403870,HPSP
011790,SKC
108490,로보티즈
000990,DB하이텍
012510,더존비즈온
111770,영원무역
103590,일진전기
011170,롯데케미칼
214150,클래시스
0009K0,에임드바이오
347850,디앤디파마텍
001720,신영증권
017800,현대엘리베이터
302440,SK바이오사이언스
010060,OCI홀딩스
009420,한올바이오파마
237690,에스티팜
043260,성호전자
439260,대한조선
011780,금호석유화학
036460,한국가스공사
012750,에스원
036930,주성엔지니어링
097950,CJ제일제당
004990,롯데지주
214450,파마리서치
023530,롯데쇼핑
004170,신세계
145020,휴젤
476830,알지노믹스
014680,한솔케미칼
085620,미래에셋생명
357780,솔브레인
140410,메지온
009970,영원무역홀딩스
083650,비에이치아이
319400,현대무벡스
139130,iM금융지주
457190,이수스페셜티케미컬
001450,현대해상
005850,에스엘
139480,이마트
026960,동서
084370,유진테크
051600,한전KPS
440110,파두
028670,팬오션
064760,티씨케이
003690,코리안리
008930,한미사이언스
103140,풍산
071970,HD현대마린엔진
178320,서진시스템
279570,케이뱅크
000240,한국앤컴퍼니
068760,셀트리온제약
112610,씨에스윈드
375500,DL이앤씨
336260,두산퓨얼셀
347700,스피어
383220,F&F
000120,CJ대한통운
001430,세아베스틸지주
058610,에스피지
204320,HL만도
005290,동진쎄미켐
319660,피에스케이
475830,오름테라퓨틱
007340,DN오토모티브
257720,실리콘투
004800,효성
004370,농심
030530,원익홀딩스
018670,SK가스
030000,제일기획
192820,코스맥스
035900,JYP Ent.
097230,HJ중공업
005440,현대지에프홀딩스
218410,RFHIC
006360,GS건설
002790,아모레퍼시픽홀딩스
282330,BGF리테일
011210,현대위아
020150,롯데에너지머티리얼즈
120110,코오롱인더
023590,다우기술
081660,미스토홀딩스
031980,피에스케이홀딩스
017960,한국카본
222800,심텍
041510,에스엠
067310,하나마이크론
039200,오스코텍
131970,두산테스나
099320,쎄트렉아이
078600,대주전자재료
007810,코리아써키트
376900,로킷헬스케어
089030,테크윙
445680,큐리옥스바이오시스템즈
003540,대신증권
483650,달바글로벌
069620,대웅제약
462870,시프트업
069960,현대백화점
161890,한국콜마
491000,리브스메드
098460,고영
008770,호텔신라
085660,차바이오텍
290650,엘앤씨바이오
001120,LX인터내셔널
140860,파크시스템스
082270,젬백스
000500,가온전선
038500,삼표시멘트
073240,금호타이어
323280,태성
006040,동원산업
101490,에스앤에스텍
475150,SK이터닉스
361610,SK아이이테크놀로지
007070,GS리테일
006280,녹십자
100790,미래에셋벤처투자
298020,효성티앤씨
012630,HDC
100090,SK오션플랜트
005070,코스모신소재
003380,하림지주
003570,SNT다이내믹스
034230,파라다이스
065350,신성델타테크
001800,오리온홀딩스
437730,삼현
032350,롯데관광개발
082920,비츠로셀
090710,휴림로봇
003530,한화투자증권
232140,와이씨
115180,큐리언트
195940,HK이노엔
030610,교보증권
294870,HDC현대산업개발
060370,LS마린솔루션
397030,에이프릴바이오
020560,아시아나항공
082640,동양생명
010170,대한광통신
007310,오뚜기
174900,앱클론
003090,대웅
080220,제주반도체
322000,HD현대에너지솔루션
189300,인텔리안테크
388210,씨엠티엑스
229640,LS에코에너지
048410,현대바이오
281740,레이크머티리얼즈
181710,NHN
077970,STX엔진
052020,에스티큐브
004000,롯데정밀화학
003240,태광산업
000210,DL
213420,덕산네오룩스
035760,CJ ENM
127120,제이에스링크
417200,LS머트리얼즈
456160,지투지바이오
466100,클로봇
185750,종근당
166090,하나머티리얼즈
415640,KB발해인프라
096530,씨젠
131290,티에스이
300720,한일시멘트
032500,케이엠더블유
137400,피엔티
001740,SK네트웍스
089860,롯데렌탈
000080,하이트진로
160190,하이젠알앤엠
293490,카카오게임즈
095610,테스
007390,네이처셀
295310,에이치브이엠
253450,스튜디오드래곤
183300,코미코
027360,아주IB투자
493280,아이엠바이오로직스
005300,롯데칠성
124500,아이티센글로벌
388720,유일로보틱스
036540,SFA반도체
089970,브이엠
280360,롯데웰푸드
000670,영풍
192080,더블유게임즈
0120G0,삼양바이오팜
122870,와이지엔터테인먼트
476060,온코닉테라퓨틱스
389470,인벤티지랩
0163Y0,KoAct 코스닥액티브
192400,쿠쿠홀딩스
281820,케이씨텍
328130,루닛
005690,파미셀
036530,SNT홀딩스
036830,솔브레인홀딩스
009240,한샘
003470,유안타증권
030190,NICE평가정보
420770,기가비스
100840,SNT에너지
298050,HS효성첨단소재
056190,에스에프에이
086450,동국제약
056080,유진로봇
137310,에스디바이오센서
001510,SK증권
003160,디아이
057050,현대홈쇼핑
204270,제이앤티씨
075580,세진중공업
078160,메디포스트
005090,SGC에너지
249420,일동제약
222080,씨아이에스
003000,부광약품
006120,SK디스커버리
484870,엠앤씨솔루션
499790,GS피앤엘
285130,SK케미칼
171090,선익시스템
358570,지아이이노베이션
490470,세미파이브
044490,태웅
348370,엔켐
071320,지역난방공사
161580,필옵틱스
195870,해성디에스
032190,다우데이타
241710,코스메카코리아
009450,경동나비엔
064960,SNT모티브
006730,서부T&D
023160,태광
084110,휴온스글로벌
014620,성광벤드
002020,코오롱
006650,대한유화
050890,쏠리드
126340,비나텍
102940,코오롱생명과학
036810,에프에스티
468530,프로티나
486990,노타
456040,OCI
004490,세방전지
108320,LX세미콘
317450,명인제약
003850,보령
074600,원익QnC
121600,나노신소재
348340,뉴로메카
425420,티에프이
010780,아이에스동서
052400,코나아이
248070,솔루엠
001270,부국증권
003030,세아제강지주
000370,한화손해보험
079160,CJ CGV
025540,한국단자
079900,전진건설로봇
093370,후성
033240,자화전자
475960,토모큐브
376300,디어유
348210,넥스틴
372320,큐로셀
014820,동원시스템즈
200710,에이디테크놀로지
225570,넥슨게임즈
086900,메디톡스
005880,대한해운
033100,제룡전기
001060,JW중외제약
007700,F&F홀딩스
069260,TKG휴켐스
112040,위메이드
399720,가온칩스
114090,GKL
090460,비에이치
253590,네오셈
214320,이노션
001680,대상
365340,성일하이텍
448900,한국피아이엠
009520,포스코엠텍
002350,넥센타이어
102710,이엔에프테크놀로지
060280,큐렉소
024850,HLB이노베이션
424870,이뮨온시아
003280,흥아해운
458870,씨어스테크놀로지
015750,성우하이텍
356860,티엘비
005180,빙그레
033500,동성화인텍
067160,SOOP
003620,KG모빌리티
017940,E1
368770,파이버프로
093050,LF
381970,케이카
178920,PI첨단소재
060250,NHN KCP
053800,안랩
058650,세아홀딩스
214430,아이쓰리시스템
042000,카페24
001500,현대차증권
025980,아난티
005250,녹십자홀딩스
287840,인투셀
460930,현대힘스
000400,롯데손해보험
094800,맵스리얼티
041960,코미팜
389650,넥스트바이오메디컬
383310,에코프로에이치엔
336370,솔루스첨단소재
462900,KoAct 바이오헬스케어액티브
002840,미원상사
000640,동아쏘시오홀딩스
336570,원텍
039130,하나투어
001570,금양
272290,이녹스첨단소재
094170,동운아나텍
383800,LX홀딩스
002960,한국쉘석유
187660,페니트리움바이오
130660,한전산업
268280,미원에스씨
006380,카프로
278280,천보
950210,프레스티지바이오파마
211050,인카금융서비스
0082N0,카나프테라퓨틱스
053610,프로텍
008730,율촌화학
251970,펌텍코리아
004690,삼천리
005420,코스모화학
020000,한섬
045100,한양이엔지
019170,신풍제약
042520,한스바이오메드
161000,애경케미칼
002240,고려제강
090360,로보스타
327260,RF머트리얼즈
016610,DB증권
271940,일진하이솔루스
488900,비츠로넥스텍
016380,KG스틸
001820,삼화콘덴서
002030,아세아
014830,유니드
252990,샘씨엔에스
125490,한라캐스트
377740,바이오노트
376270,HEM파마
099190,아이센스
138490,코오롱ENP
003300,한일홀딩스
215600,신라젠
284740,쿠쿠홈시스
018290,브이티
046890,서울반도체
041190,우리기술투자
009410,태영건설
095660,네오위즈
000070,삼양홀딩스
119850,지엔씨에너지
025320,시노펙스
104830,원익머트리얼즈
047920,HLB제약
016590,신대양제지
011930,신성이엔지
036620,감성코퍼레이션
478340,나라스페이스테크놀로지
031330,에스에이엠티
338840,와이바이오로직스
206650,유바이오로직스
025900,동화기업
078350,한양디지텍
453340,현대그린푸드
034310,NICE
009900,명신산업
318060,그래피
029530,신도리코
199800,툴젠
005810,풍산홀딩스
484590,삼양컴텍
077360,덕산하이메탈
098070,한텍
093320,케이아이엔엑스
006910,보성파워텍
215200,메가스터디교육
101160,월덱스
230360,에코마케팅
217590,티엠씨
008060,대덕
494120,큐리오시스
033790,피노
079370,제우스
105840,우진
083450,GST
030520,한글과컴퓨터
067630,HLB생명과학
064260,다날
138080,오이솔루션
105630,한세실업
006220,제주은행
452260,한화갤러리아
001200,유진투자증권
065660,안트로젠
145990,삼양사
192650,드림텍
039440,에스티아이
019210,와이지-원
228760,지노믹트리
394280,오픈엣지테크놀로지
180400,DXVX
107640,한중엔시에스
091700,파트론
004700,조광피혁
017810,풀무원
089010,켐트로닉스
393890,더블유씨피
460860,동국제강
034950,한국기업평가
101930,인화정공
145720,덴티움
059090,미코
015360,INVENI
220100,퓨쳐켐
0001A0,덕양에너젠
072710,농심홀딩스
009290,광동제약
122640,예스티
016800,퍼시스
900290,GRT
031430,신세계인터내셔날
018250,애경산업
005610,SPC삼립
006110,삼아알미늄
013030,하이록코리아
441270,파인엠텍
034830,한국토지신탁
168360,펨트론
027410,BGF
069080,웹젠
394800,쓰리빌리언
080580,오킨스전자
101730,위메이드맥스
033640,네패스
170900,동아에스티
108860,셀바스AI
230240,에치에프알
340570,티앤엘
450950,아스테라시스
037460,삼지전자
183190,아세아시멘트
089590,제주항공
304360,에스바이오메딕스
006340,대원전선
060980,HL홀딩스
344820,KCC글라스
117730,티로보틱스
241520,DSC인베스트먼트
029460,케이씨
036170,에이치엠넥스
455900,엔젤로보틱스
001530,DI동일
308430,셀비온
089980,상아프론테크
078340,컴투스
025860,남해화학
200670,휴메딕스
114810,한솔아이원스
026890,스틱인베스트먼트
144510,지씨셀
0088M0,메쥬
078020,LS증권
194480,데브시스터즈
0015G0,그린광학
010690,화신
041830,인바디
053030,바이넥스
097520,엠씨넥스
046120,오르비텍
298830,슈어소프트테크
126720,수산인더스트리
091810,티웨이항공
290550,디케이티
241770,메카로
035890,서희건설
314930,바이오다인
403550,쏘카
234340,헥토파이낸셜
110990,디아이티
003800,에이스침대
041920,메디아나
084990,헬릭스미스
001940,KISCO홀딩스
093520,매커스
200880,서연이화
092870,엑시콘
126560,현대퓨처넷
051500,CJ프레시웨이
475400,씨메스
321550,티움바이오
309710,아이티켐
089890,코세스
352480,씨앤씨인터내셔널
306200,세아제강
035810,이지홀딩스
092220,KEC
086390,유니테스트
005720,넥센
084010,대한제강
001390,KG케미칼
079940,가비아
389260,대명에너지
078130,국일제지
002810,삼영무역
170920,엘티씨
482630,삼양엔씨켐
033160,엠케이전자
204620,글로벌텍스프리
002310,아세아제지
474650,링크솔루션
094360,칩스앤미디어
037270,YG PLUS
448280,에코아이
036890,진성티이씨
002710,TCC스틸
058970,엠로
015860,일진홀딩스
010820,퍼스텍
123890,한국자산신탁
365270,큐라클
078520,에이블씨엔씨
092230,KPX홀딩스
012030,DB
011760,현대코퍼레이션
018000,유니슨
001460,BYC
017860,DS단석
136480,하림
084690,대상홀딩스
179900,유티아이
389020,자람테크놀로지
001750,한양증권
236200,슈프리마
007690,국도화학
099440,스맥
046970,우리로
200130,콜마비앤에이치
217730,강스템바이오텍
043150,바텍
419530,SAMG엔터
194370,제이에스코퍼레이션
092200,디아이씨
314130,지놈앤컴퍼니
104700,한국철강
286940,롯데이노베이트
114190,강원에너지
049630,재영솔루텍
023410,유진기업
094480,갤럭시아머니트리
389500,에스비비테크
272450,진에어
361390,제노코
011500,한농화성
033270,유나이티드제약
003520,영진약품
138610,나이벡
009160,SIMPAC
073490,이노와이어리스
060720,KH바텍
317330,덕산테코피아
200470,에이팩트
064820,케이프
017390,서울가스
096760,JW홀딩스
462350,이노스페이스
274090,켄코아에어로스페이스
005680,삼영전자
900140,엘브이엠씨홀딩스
371950,풍원정밀
099430,바이오플러스
128820,대성산업
001230,동국홀딩스
000650,천일고속
086820,바이오솔루션
451760,컨텍
243070,휴온스
024720,콜마홀딩스
475560,더본코리아
378340,필에너지
265520,AP시스템
037710,광주신세계
051370,인터플렉스
003120,일성아이에스
064550,바이오니아
330860,네패스아크
085910,네오티스
001340,PKC
101360,에코앤드림
069540,빛과전자
151860,KG에코솔루션
023760,한국캐피탈
003920,남양유업
472850,폰드그룹
215000,골프존
216080,제테마
416180,신성에스티
009680,모토닉
014940,오리엔탈정공
034120,SBS
131030,옵투스제약
042370,비츠로테크
024060,흥구석유
054950,제이브이엠
445090,에이직랜드
221800,유투바이오
067390,아스트
354320,알멕
003960,사조대림
088800,에이스테크
002320,한진
092790,넥스틸
255220,SG
005010,휴스틸
004310,현대약품
322310,오로스테크놀로지
294570,쿠콘
004360,세방
251370,와이엠티
000320,노루홀딩스
045390,대아티아이
049070,인탑스
226590,엠디바이스
000540,흥국화재
025770,한국정보통신
243840,신흥에스이씨
036200,유니셈
078070,유비쿼스홀딩스
357550,석경에이티
272110,케이엔제이
053690,한미글로벌
304100,솔트룩스
035600,KG이니시스
000490,대동
002900,TYM
092730,네오팜
267980,매일유업
160980,싸이맥스
241590,화승엔터프라이즈
095500,미래나노텍
035510,신세계 I&C
058820,CMG제약
464080,에스오에스랩
012210,삼미금속
003200,일신방직
013120,동원개발
474170,루미르
058430,포스코스틸리온
0007C0,아크릴
003070,코오롱글로벌
018310,삼목에스폼
067080,대화제약
054210,이랜텍
084850,아이티엠반도체
117580,대성에너지
0008Z0,에스엔시스
065680,우주일렉트로
256840,한국비엔씨
007160,사조산업
176750,듀켐바이오
000390,삼화페인트
211270,AP위성
106190,하이텍팜
182400,엔케이젠바이오텍코리아
035150,백산
452430,사피엔반도체
950170,JTC
134380,미원화학
001790,대한제당
452280,한선엔지니어링
100120,뷰웍스
061970,LB세미콘
043370,피에이치에이
234690,녹십자웰빙
000050,경방
123330,제닉
194700,노바렉스
005710,대원산업
036800,나이스정보통신
092460,한라IMS
003720,삼영
115450,HLB테라퓨틱스
418550,제이오
380550,뉴로핏
108670,LX하우시스
206640,바디텍메드
126700,하이비젼시스템
121800,비덴트
402490,그린리소스
001130,대한제분
377460,위니아에이드
950140,잉글우드랩
481070,에이유브랜즈
950250,테라뷰
108380,대양전기공업
033920,무학
254490,미래반도체
094820,일진파워
122900,아이마켓코리아
332570,PS일렉트로닉스
030210,다올투자증권
459510,나우로보틱스
001630,종근당홀딩스
053300,한국정보인증
091580,상신이디피
068930,디지털대성
007570,일양약품
012860,모베이스전자
056090,시지메드텍
264450,유비쿼스
112290,와이씨켐
289080,SV인베스트먼트
136490,선진
000680,LS네트웍스
289930,웨이비스
005500,삼진제약
382900,범한퓨얼셀
000430,대원강업
462860,더즌
064290,인텍플러스
199430,케이엔알시스템
403850,더핑크퐁컴퍼니
214180,헥토이노베이션
009470,삼화전기
126600,BGF에코머티리얼즈
044450,KSS해운
053210,스카이라이프
013890,지누스
210980,SK디앤디
353810,이지바이오
190510,나무가
034810,해성산업
064850,에프앤가이드
039840,디오
036030,케이티알파
457550,우진엔텍
004560,현대비앤지스틸
402030,코난테크놀로지
017890,한국알콜
475230,엔알비
244920,에이플러스에셋
199820,제일일렉트릭
092070,디엔에프
028100,동아지질
095570,AJ네트웍스
051360,토비스
144960,뉴파워프라즈마
307750,국전약품
083310,엘오티베큠
003220,대원제약
495230,KoAct 코리아밸류업액티브
461300,아이스크림미디어
372170,윤성에프앤씨
203400,에이비온
004980,성신양회
484810,티엑스알로보틱스
338220,뷰노
000480,CR홀딩스
041020,폴라리스오피스
036560,KZ정밀
065710,서호전기
095700,제넥신
179290,엠아이텍
013580,계룡건설
019010,베뉴지
098120,마이크로컨텍솔
007860,서연
357580,아모센스
079960,동양이엔피
226320,잇츠한불
036190,금화피에스시
008490,서흥
084680,이월드
039570,HDC랩스
010580,에스엠벡셀
119610,인터로조
0004V0,엔비알모션
285490,노바텍
004430,송원산업
484120,도우인시스
417010,나노팀
0011A0,액스비스
432720,퀄리타스반도체
408470,한패스
104480,티케이케미칼
140670,알에스오토메이션
298690,에어부산
115310,인포바인
016880,웅진
000520,삼일제약
025000,KPX케미칼
039860,나노엔텍
001080,만호제강
102260,동성케미컬
002150,도화엔지니어링
033530,SJG세종
237880,클리오
299030,하나기술
297090,씨에스베어링
242040,나무기술
456010,아이씨티케이
001250,GS글로벌
425040,티이엠씨
270660,에브리봇
004090,한국석유
121440,골프존홀딩스
293780,압타바이오
080160,모두투어
032620,유비케어
011690,와이투솔루션
123860,아나패스
003460,유화증권
496020,WON 전단채플러스액티브
000140,하이트진로홀딩스
234080,JW생명과학
118990,모트렉스
005950,이수화학
388050,지투파워
271980,제일약품
003610,방림
487570,HS효성
003350,한국화장품제조
082800,비보존 제약
235980,메드팩토
339770,교촌에프앤비
472920,HK 종합채권(AA-이상)액티브
489500,엘케이켐
380540,옵티코어
405100,큐알티
004380,삼익THK
001780,알루코
039560,다산네트웍스
272550,삼양패키징
213500,한솔제지
078150,HB테크놀러지
377450,리파인
439090,마녀공장
143240,사람인
061090,세나테크놀로지
052710,아모텍
356680,엑스게이트
123410,코리아에프티
102120,어보브반도체
114840,아이패밀리에스씨
129920,대성하이텍
016450,한세예스24홀딩스
086890,이수앱지스
083930,아바코
217270,넵튠
003650,미창석유
048870,시너지이노베이션
156100,엘앤케이바이오
042420,네오위즈홀딩스
000860,강남제비스코
357880,SKAI
005960,동부건설
290740,액트로
060150,인선이엔티
016580,환인제약
015230,대창단조
340450,지씨지놈
300080,플리토
214390,경보제약
473980,노머스
143160,아이디스
071840,롯데하이마트
122990,와이솔
100250,진양홀딩스
334970,프레스티지바이오로직스
031440,신세계푸드
475580,에이럭스
054450,텔레칩스
001520,동양
081000,일진다이아
290690,소룩스
046440,KG모빌리언스
017900,광전자
102460,이연제약
016790,현대사료
232680,라온로보틱스
452450,피아이이
002990,금호건설
322510,제이엘케이
011560,세보엠이씨
101970,우양에이치씨
323990,박셀바이오
219130,타이거일렉
101530,해태제과식품
002100,경농
146320,비씨엔씨
389030,지니너스
264850,이랜시스
471040,KoAct 글로벌AI&로봇액티브
008830,대동기어
355150,코스텍시스
0015B0,KoAct 미국나스닥성장기업액티브
038290,마크로젠
032940,원익
267320,나인테크
002170,삼양통상
005430,한국공항
052330,코텍
101170,우림피티에스
006060,화승인더
282720,금양그린파워
068790,DMS
008970,KBI동양철관
042600,새로닉스
090350,노루페인트
037560,LG헬로비전
092130,이크레더블
002230,피에스텍
009070,KCTC
460850,동국씨엠
001360,삼성제약
418420,라온텍
009580,무림P&P
307180,아이엘
038390,레드캡투어
365330,에스와이스틸텍
382800,지앤비에스 에코
047310,파워로직스
000300,DH오토넥스
023910,대한약품
000700,유수홀딩스
066620,국보디자인
456070,이엔셀
008350,남선알미늄
005160,동국산업
051980,중앙첨단소재
004960,한신공영
007330,푸른저축은행
469610,이노테크
293580,나우IB
037070,파세코
321370,센서뷰
089470,HDC현대EP
011040,경동제약
086980,쇼박스
220260,켐트로스
187870,디바이스
125020,티씨머티리얼즈
293480,하나제약
054800,아이디스홀딩스
038110,에코플라스틱
000020,동화약품
214420,토니모리
476040,오가노이드사이언스
126730,코칩
067000,조이시티
025620,차AI헬스케어
119830,아이텍
264660,씨앤지하이테크
104460,디와이피엔에프
453450,그리드위즈
067280,멀티캠퍼스
054620,APS
003830,대한화섬
069510,에스텍
049430,코메론
333430,일승
012200,계양전기
035080,그래디언트
256940,킵스파마
462520,조선내화
012610,경인양행
033340,좋은사람들
090470,제이스텍
317400,자이에스앤디
108230,톱텍
093640,케이알엠
182360,큐브엔터
464490,쿼드메디슨
260970,에스앤디
474610,RF시스템즈
259630,엠플러스
282880,코윈테크
234030,싸이닉솔루션
047770,코데즈컴바인
474590,WON 반도체밸류체인액티브
203650,드림시큐리티
047560,이스트소프트
331740,아우토크립트
025820,이구산업
417500,제이아이테크
066410,버킷스튜디오
080420,모다이노칩
046070,코다코
078000,텔코웨어
138360,앤로보틱스
488280,에스투더블유
013990,아가방컴퍼니
148150,세경하이테크
388790,라이콤
158430,아톤
007540,샘표
417840,저스템
204610,티쓰리
011280,태림포장
044820,코스맥스비티아이
037350,성도이엔지
004710,한솔테크닉스
041440,현대에버다임
006620,동구바이오제약
225530,HC보광산업
023600,삼보판지
018470,조일알미늄
000970,한국주철관
053700,삼보모터스
086670,비엠티
092190,서울바이오시스
004970,신라교역
008110,대동전자
322180,LS티라유텍
136150,원일티엔아이
027970,한국제지
021820,세원정공
009270,신원
024800,유성티엔에스
147830,제룡산업
107590,미원홀딩스
107600,새빗켐
0015S0,페스카로
071200,인피니트헬스케어
019180,티에이치엔
005990,매일홀딩스
021080,에이티넘인베스트
040300,YTN
115440,우리넷
210540,디와이파워
090850,현대이지웰
265740,엔에프씨
002390,한독
192440,슈피겐코리아
059120,아진엑스텍
122450,KX
054920,한컴위드
298000,효성화학
095190,이엠코리아
004250,NPC
255440,야스
214680,디알텍
093190,빅솔론
005860,한일사료
049720,고려신용정보
083500,에프엔에스테크
360070,탑머티리얼
000440,중앙에너비스
027710,팜스토리
297890,HB솔루션
310200,애니플러스
054540,삼영엠텍
217820,원익피앤이
008040,사조동아원
070960,모나용평
094280,효성ITX
003480,한진중공업홀딩스
011700,한신기계
063570,NICE인프라
014280,금강공업
403790,마이다스 코스피액티브
445180,퓨릿
336680,탑런토탈솔루션
250060,모비스
240550,동방메디컬
465780,마이티 26-09 특수채(AAA)액티브
079430,현대리바트
226400,오스테오닉
225190,LK삼양
263720,디앤씨미디어
003100,선광
015890,태경산업
014970,삼륭물산
017510,세명전기
131370,알서포트
215100,로보로보
072870,메가스터디
109740,디에스케이
073010,케이에스피
014160,대영포장
363280,티와이홀딩스
053080,케이엔솔
035000,HS애드
024090,디씨엠
004150,한솔홀딩스
021320,KCC건설
005800,신영와코루
010100,한국무브넥스
002620,제일파마홀딩스
016710,대성홀딩스
036710,심텍홀딩스
408920,메쎄이상
019680,대교
002780,진흥기업
065450,빅텍
149950,아바텍
136540,윈스테크넷
049960,쎌바이오텍
013520,화승코퍼레이션
083420,그린케미칼
123040,엠에스오토텍
306620,지아이에스
052420,오성첨단소재
382840,원준
085670,뉴프렉스
089600,KT나스미디어
045970,코아시아
036220,오상헬스케어
012320,경동인베스트
388870,파로스아이바이오
095720,웅진씽크빅
063170,서울옥션
166480,코아스템켐온
037030,파워넷
246710,티앤알바이오팹
088130,동아엘텍
123690,한국화장품
024880,케이피에프
016740,두올
109610,에스와이
209640,와이제이링크
048530,인트론바이오
413630,씨피시스템
096250,와이즈넛
269620,시스웍
077500,유니퀘스트
029480,광무
205100,엑셈
014530,극동유화
396270,넥스트칩
067990,도이치모터스
309960,LB인베스트먼트
389140,포바이포
004140,동방
267290,경동도시가스
013570,디와이
100130,동국S&C
004080,신흥
494220,UNICORN SK하이닉스밸류체인액티브
248170,샘표식품
489460,바이오비쥬
092040,아미코젠
010660,화천기계
067830,세이브존I&C
032300,한국파마
054050,농우바이오
001290,상상인증권
004440,삼일씨엔에스
337930,젝시믹스
040160,누리플렉스
0074K0,KoAct K수출핵심기업TOP30액티브
067900,와이엔텍
059210,메타바이오메드
348150,고바이오랩
014790,HL D&I
014710,사조씨푸드
052260,현대바이오랜드
036690,코맥스
099750,이지케어텍
025950,동신건설
002460,HS화성
120030,조선선재
014580,태경비케이
049950,미래컴퍼니
